clip-index,trick-index,trick,switch / nollie,line,slowmo,obstacle,obstacle-detailed,location,video,year,notes,crust,,
1,3,switch bs tailslide,1,1,,ledge,,Union Square,Thrasher Feats,1994,,,,

2,4,360 flip to fakie,,,,bank,,,Thrasher Feats,1994,,,,

3,5,bs kickflip,,,,gap,ramp to ramp,,Thrasher Feats,1994,,,,

4,6,bs shove,,,,gap,street launch,SF Hills,Thrasher Feats,1994,,,,

5,7,nollie fs noseslide,1,,,ledge,,,Thrasher Feats,1994,,,,

6,8,fs 50-50  ,,,,rail,flat rail,,Thrasher Feats,1994,,,,

7,9,switch fs 180,1,,,gap,street gap,,Thrasher Feats,1994,,,,

8,10,switch ollie,1,,,gap, ,SF Hills,Thrasher Feats,1994,,,,

1,1,bs 5-0 to bs 180,,,1,ledge,,,Eastern Exposure 3,1996,,,,

2,2,fs 50-50 to fs 180,,,1,rail,flat rail,,Eastern Exposure 3,1996,,,,

3,3,ollie up to ollie to fs 50-50,,,1,rail,flat rail,Love Park,Eastern Exposure 3,1996,infamous crack trick,,,

4,4,ollie,,,,gap,,,Eastern Exposure 3,1996,,,,

1,1,fs 50-50,,1,,rail,flat rail,,Timecode,1997,,,,

1,2,ollie,,1,,flat,into bank,,Timecode,1997,,,,

1,3,ollie,,1,,gap,over rail into bank,,Timecode,1997,,1,,

1,4,360 flip,,1,,flat,,,Timecode,1997,,,,

2,5,fs 180,,,,gap,over rail into bank,,Timecode,1997,,1,,

3,6,fs 50-50 to fs 180,,,,rail,flat rail,,Timecode,1997,,,,

4,7,fs 50-50,,,,rail,flat rail,,Timecode,1997,,1,,

5,8,switch fs 180 to fs 5-0,1,,,rail,handrail,Love Park,Timecode,1997,,,,

6,9,fs 50-50,,1,,rail,handrail,,Timecode,1997,,,,

6,10,ollie,,1,,flat,,onto car hood,Timecode,1997,,,,

7,11,ollie to fs tailslide,,,,transition,park,FDR,Timecode,1997,first footage of cinched up pants,,,

8,12,kickflip,,,,flat,into bank,,Timecode,1997,,,,

9,13,360 flip,,1,,flat,,,Timecode,1997,,,,

9,14,bs crooked,,1,,ledge,,,Timecode,1997,,,,

9,15,nollie bs kickflip,1,1,,flat,,,Timecode,1997,,,,

10,16,bs 180 to switch bs 5-0,,,,ledge,hubba,,Timecode,1997,SF ledge rail thing,,,

11,17,fs 50-50,,,,rail,flat rail,,Timecode,1997,,,,

12,18,fs noseslide,,,,ledge,,SF Hills,Timecode,1997,,,,

13,19,fs 50-50 to fs 180,,,,rail,flat rail,,Timecode,1997,,,,

14,20,tail drop,,,,bank,into bank,ditch,Timecode,1997, ,,,

15,21,ollie to bs nosepick yank out,,,,bank,bank to wall,ditch,Timecode,1997, ,,,

16,22,ollie,,1,,flat,,SF Hills,Timecode,1997,,,,

16,23,bs 50-50,,1,,ledge,,SF Hills,Timecode,1997,,,,

16,24,fs 180,,1,,flat,,SF Hills,Timecode,1997,,,,

16,25,switch fs 180  ,1,1,,flat,,SF Hills,Timecode,1997,,,,

16,26,ollie,,1,,flat,,SF Hills,Timecode,1997,nearly hit by car at end of hill bomb,,,

17,27,fs 50-50,,,,rail,handrail,,Timecode,1997,,,,

18,28,bs 50-50 to bs 180,,,,ledge,bank to ledge,Brooklyn Banks,Timecode,1997,,,,

19,29,fs 50-50 grind to fs 180,,1,,rail,flat rail,Brooklyn Banks,Timecode,1997,,,,

19,30,switch bs shove,1,1,,flat,,Brooklyn Banks,Timecode,1997,,,,

20,31,bs kickflip,,,,transition,over wall,Brooklyn Banks,Timecode,1997,,,,

21,32,switch fs 5-0,1,,,ledge,hubba,Hubba Hideout,Timecode,1997,,,,

