guest,favorite skater,favorite style,biggest influence,most talented
hugo balek,antoine asselin,tom knox,tomo bara/antoine asselin/chris mongenne,eric riedl
walker ryan,wes kremer,wes kremer,mark appleyard,ishod wair
shane heyl,mike carroll,javontae turner,world industries/plan b,jamie foy/ishod wair
alexis sablone,donny barley/brian anderson/stevie williams/mike maldonado,donnie barley/stevie williams,trevor thompson,louie lopez
jeff lenoce,rodrigo tx,gino iannucci,tom penny,shane o'neill
cyrus bennett,van wastell,van wastell,ali boulala/jim greco,yuto horigome
damian bravo,mark gonzales/jeron wilson,mark gonzales,jeron wilson/richard mulder,mark gonzales
marisa dal santo,jim greco,geoff rowley,jim greco/misled youth,arto saari/heath kirchart
alexis lacroix,joe valdez,funky,joe valdez,zander
zack wallin,john cardiel,marc johnson,john cardiel,louie lopez
mike maldonado,mark gonzales/sean sheffey,sal barbier,sean sheffey/mark gonzales/sal barbier/matt hensley,kyle nicholson
kevin white,keenan milton,gino iannucci,keenan milton,gustav tønnesen
tommy sandoval,arto saari/andrew reynolds,evan smith/erick winkowski/wes kremer,arto saari/heath kirchart/jamie thomas,mystery kid in china
ian twa,tom penny,lavar mcbride,brian wenning,travis stenger
jesus fernandez,guy mariano,gino iannucci,guy mariano/gino ianucci/chico brenes,fabio sarmiento
carlos ribeiro,rodrigo tx,paul rodriguez,pj ladd,ishod wair
jack o'grady,rowan zorilla,ave,grant taylor,guy mariano
john dilo ,ryan lay,max geronzi,youness amrani,jamie foy
hugo boserup,phil shao,kyle wilson,peter stege/john cardiel/grant taylor,tiago lemos/ishod wair
spencer hamilton,kyle wilson,kyle wilson/magnus bordewick,wade desarmo/paul rodriguez,paul trepp
ryan townley,heath kirchart,heath kirchart/dylan rieder/danny garcia,heath kirchart/arto saari,grant taylor/ishod wair
beagle,jamie foy,keenan milton,kareem campbell,jamie foy
justin eldridge,marc johnson,keenan milton,eric koston,pj ladd/nyjah huston
massimo cavedoni,antoine asselin,damian bravo,ronnie creager,john cardiel
charles rivard,travis stenger,ben blundell,travis stenger,will marshall
jt aultz,pat duffy/jeron wilson,keith hufnagel,pat duffy/geoff rowley/jamie thomas,guy mariano
mike mo capaldi,heath kirchart,heath kirchart,pj ladd,shane o'neill
ernie torres,ty/kenny anderson/ishod wair,ishod wair/kenny anderson,peter ramondetta/dennis busenitz/tony trujillo,ishod wair
donovon piscopo,john fitzgerald,dylan rieder,anthony piscopo,ishod wair
jake anderson,grant taylor,dylan rieder,mike anderson,dan plunkett/eric koston
tony ferguson,guy mariano,keenan milton,jason lee,guy mariano/eric koston
grady smith,jake johnson,jordan trahan,matt fink,brad cromer
mark humienik,bobby puleo,bobby puleo,mark wetzel,
