"trick","obstacle","cnt"
"fs shuv to bs nosegrind","ledge",1
"fs smith","transition",1
"fs smith to fs 180","ledge",1
"fs smith to fs 180","rail",1
"fs smith to tailgrab","transition",1
"fs tailslide to fs kickflip","ledge",1
"fs tailslide to fs kickflip","rail",1
"fs tailslide to sw fs 5-0 to fakie","ledge",1
"fs wallride","transition",1
"fs wallride","wall",1
"halfcab","transition",1
"halfcab kickflip to bs crook","ledge",1
"halfcab to fs nosegrind to nollie fs 180","ledge",1
"halfcab to manny","manny pad",1
"halfcab to manny to bs 180","manny pad",1
"halfcab to manual to bs bigspin","manny pad",1
"heelflip","gap",1
"heelflip to bs crook","rail",1
"indie grab","transition",1
"kickflip to bs crook","rail",1
"kickflip to bs nosegrind","rail",1
"kickflip to bs noseslide","ledge",1
"kickflip to bs noseslide","rail",1
"kickflip to bs noseslide to fakie","ledge",1
"kickflip to bs tailslide to fakie","ledge",1
"kickflip to fs 5051","rail",1
"kickflip to fs lipslide","ledge",1
"kickflip to fs lipslide","rail",1
"kickflip to fs noseslide to fakie","ledge",1
"kickflip to fs tailslide","ledge",1
"kickflip to manny","manny pad",1
"late fs shuv","gap",1
"manny to kickflip","manny pad",1
"no comply tailslide to fakie","transition",1
"no comply to bs blunt to fakie","transition",1
"no comply to bs blunt to fs 360","transition",1
"no comply to fs 180","stairs",1
"nollie bs 180","ledge",1
"nollie bs 180 to sw fs crook to fakie kickflip","ledge",1
"nollie bs heelflip","flat",1
"nollie bs heelflip","gap",1
"nollie bs kickflip","flat",1
"nollie fs 180 to sw bs crook to fakie heelflip","ledge",1
"nollie fs heelflip to sw bs crook","ledge",1
"nollie fs kickflip","flat",1
"nollie fs tailslide to fakie","ledge",1
"nollie hardflip","stairs",1
"nollie heelflip","gap",1
"nollie heelflip","stairs",1
"nollie heelflip to bs noseslide","rail",1
"nollie heelflip to bs tailslide to fakie","ledge",1
"nollie heelflip to fs crook to fakie","ledge",1
"nollie inward heel","stairs",1
"nollie inward heelflip","gap",1
"nollie kickflip","gap",1
"nollie kickflip to bs 5050","rail",1
"nollie kickflip to bs 5051","rail",1
"nollie kickflip to bs boardslide","rail",1
"nollie kickflip to bs crook","ledge",1
"nollie kickflip to bs lipslide","rail",1
"nollie kickflip to bs tailslide","ledge",1
"nollie shuv to bs crook","ledge",1
"nollie shuv to bs noseslide to nollie fs shuv","ledge",1
"nollie shuv to manny","manny pad",1
"nollie to bs noseslide","rail",1
"nollie to fs blunt to bs kickflip","ledge",1
"nollie to fs crook","rail",1
"nollie to fs nosegrind","ledge",1
"nollie to fs noseslide","rail",1
"nollie to fs noseslide to nollie bs heelflip","ledge",1
"nollie to nose manny to nollie kickflip","manny pad",1
"nollie tre flip","flat",1
"nollie tre flip","stairs",1
"nose manny to nollie kickflip","manny pad",1
"ollie","flat",1
"shuv","stairs",1
"shuv to fs boardslide","rail",1
"slappy bs 5050","ledge",1
"sw big heel","gap",1
"sw big heel to bs boardslide","rail",1
"sw bs blunt to regular","ledge",1
"sw bs crook","rail",1
"sw bs crook to fakie kickflip","rail",1
"sw bs crook to regular","rail",1
"sw bs kickflip","stairs",1
"sw bs kickflip to nose manny","manny pad",1
"sw bs noseslide to nollie fs 180","ledge",1
"sw bs wallride","wall",1
"sw fs bigspin","flat",1
"sw fs bigspin to sw bs boardslide ","rail",1
"sw fs blunt","ledge",1
"sw fs boardslide to regular","stairs",1
"sw fs heelflip","gap",1
"sw fs nosegrind to fakie kickflip","ledge",1
"sw fs shuv","gap",1
"sw fs shuv to sw bs noseslide","ledge",1
"sw fs tailslide","ledge",1
"sw fs tailslide to regular","ledge",1
"sw heelflip to bs 5-0","ledge",1
"sw heelflip to sw fs nosegrind","gap",1
"sw heelflip to sw fs tailslide to regular","ledge",1
"sw heelflip to sw fs tailslide to sw fs bigspin","ledge",1
"sw heelflip to sw manny","manny pad",1
"sw inward heelflip to sw fs 5-0","ledge",1
"sw kickflip to sw bs crook","rail",1
"sw kickflip to sw bs noseslide to regular","ledge",1
"sw kickflip to sw fs 5-0","ledge",1
"sw ollie","flat",1
"sw ollie","stairs",1
"sw varial heelflip","stairs",1
"tre flip to 50-50","rail",1
"tre flip to 50-51","rail",1
"wallie","gap",1
"wallie","rail",1
"wallie","stairs",1
"wallie to bs boardslide","rail",1
"wallie to fs 180","wall",1
"wallie to fs 360","wall",1
"wallie to fs smith","rail",1
